Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
América do Sul;4;Argentina;11;São Paulo;25;Aérea;1;2011;janeiro;1;33584
América do Sul;4;Bolívia;26;São Paulo;25;Aérea;1;2011;janeiro;1;3987
América do Sul;4;Chile;42;São Paulo;25;Aérea;1;2011;janeiro;1;8382
América do Sul;4;Colômbia;48;São Paulo;25;Aérea;1;2011;janeiro;1;3902
América do Sul;4;Equador;63;São Paulo;25;Aérea;1;2011;janeiro;1;695
América do Sul;4;Guiana Francesa;87;São Paulo;25;Aérea;1;2011;janeiro;1;1
América do Sul;4;Paraguai;173;São Paulo;25;Aérea;1;2011;janeiro;1;2207
América do Sul;4;Peru;174;São Paulo;25;Aérea;1;2011;janeiro;1;2548
América do Sul;4;Guiana;86;São Paulo;25;Aérea;1;2011;janeiro;1;11
América do Sul;4;Suriname;217;São Paulo;25;Aérea;1;2011;janeiro;1;5
América do Sul;4;Uruguai;234;São Paulo;25;Aérea;1;2011;janeiro;1;2711
América do Sul;4;Venezuela;238;São Paulo;25;Aérea;1;2011;janeiro;1;1680
Ásia;5;China;43;São Paulo;25;Aérea;1;2011;janeiro;1;1816
Ásia;5;Índia;113;São Paulo;25;Aérea;1;2011;janeiro;1;1198
Ásia;5;Israel;119;São Paulo;25;Aérea;1;2011;janeiro;1;1921
Ásia;5;Japão;122;São Paulo;25;Aérea;1;2011;janeiro;1;2623
Ásia;5;República da Coreia;184;São Paulo;25;Aérea;1;2011;janeiro;1;2810
Ásia;5;Outros países;998;São Paulo;25;Aérea;1;2011;janeiro;1;2414
Europa;6;Alemanha;4;São Paulo;25;Aérea;1;2011;janeiro;1;10043
Europa;6;Áustria;15;São Paulo;25;Aérea;1;2011;janeiro;1;1031
Europa;6;Bélgica;21;São Paulo;25;Aérea;1;2011;janeiro;1;961
Europa;6;Dinamarca;57;São Paulo;25;Aérea;1;2011;janeiro;1;891
Europa;6;Espanha;67;São Paulo;25;Aérea;1;2011;janeiro;1;6276
Europa;6;Finlândia;73;São Paulo;25;Aérea;1;2011;janeiro;1;636
Europa;6;França;74;São Paulo;25;Aérea;1;2011;janeiro;1;5962
Europa;6;Grécia;81;São Paulo;25;Aérea;1;2011;janeiro;1;262
Europa;6;Holanda;92;São Paulo;25;Aérea;1;2011;janeiro;1;2474
Europa;6;Hungria;94;São Paulo;25;Aérea;1;2011;janeiro;1;171
Europa;6;Reino Unido/ Inglaterra;182;São Paulo;25;Aérea;1;2011;janeiro;1;4166
Europa;6;Irlanda;117;São Paulo;25;Aérea;1;2011;janeiro;1;585
Europa;6;Itália;120;São Paulo;25;Aérea;1;2011;janeiro;1;7570
Europa;6;Noruega;164;São Paulo;25;Aérea;1;2011;janeiro;1;699
Europa;6;Polônia;177;São Paulo;25;Aérea;1;2011;janeiro;1;646
Europa;6;Portugal;179;São Paulo;25;Aérea;1;2011;janeiro;1;5877
Europa;6;República Tcheca;187;São Paulo;25;Aérea;1;2011;janeiro;1;192
Europa;6;Rússia;190;São Paulo;25;Aérea;1;2011;janeiro;1;772
Europa;6;Suécia;215;São Paulo;25;Aérea;1;2011;janeiro;1;1574
